text,target,pred
大通,"['dà', 'tōng']","['dà', 'NA']"
大辟,"['dà', 'pì']","['dà', 'NA']"
大调,"['dà', 'diào']","['dà', 'NA']"
大解,"['dà', 'jiě']","['dà', 'NA']"
大观,"['dà', 'guān']","['dà', 'NA']"
大衣,"['dà', 'yī']","['dà', 'NA']"
大胜,"['dà', 'shèng']","['dà', 'NA']"
大系,"['dà', 'xì']","['dà', 'NA']"
大王,"['dà', 'wáng']","['dà', 'NA']"
大烟,"['dà', 'yān']","['dà', 'NA']"
大炮,"['dà', 'pào']","['dà', 'NA']"
大汗,"['dà', 'hán']","['dà', 'NA']"
大正,"['dà', 'zhèng']","['dà', 'NA']"
大数,"['dà', 'shù']","['dà', 'NA']"
大指,"['dà', 'zhǐ']","['dà', 'NA']"
大兴,"['dà', 'xīng']","['dà', 'NA']"
大将,"['dà', 'jiàng']","['dà', 'NA']"
大宁,"['dà', 'níng']","['dà', 'NA']"
大夫,"['dà', 'fū']","['dà', 'fu']"
大埤,"['dà', 'pí']","['dà', 'NA']"
大只,"['dà', 'zhī']","['dà', 'NA']"
大厦,"['dà', 'shà']","['dà', 'NA']"
大作,"['dà', 'zuò']","['dà', 'NA']"
大伯,"['dà', 'bó']","['dà', 'NA']"
朝露,"['zhāo', 'lù']","['cháo', 'lù']"
露齿,"['lù', 'NA']","['lòu', 'NA']"
露韩,"['lù', 'NA']","['lòu', 'NA']"
露西,"['lù', 'NA']","['lòu', 'NA']"
露袒,"['lù', 'NA']","['lòu', 'NA']"
露营,"['lù', 'NA']","['lòu', 'NA']"
面糊,"['NA', 'hú']","['NA', 'hu']"
暖和,"['NA', 'huo']","['NA', 'hé']"
混和,"['hùn', 'huò']","['hùn', 'hé']"
酬和,"['NA', 'hè']","['NA', 'hé']"
当上,"['dāng', 'shang']","['dāng', 'shàng']"
地上,"['dì', 'shang']","['dì', 'shàng']"
闭上,"['NA', 'shang']","['NA', 'shàng']"
身上,"['NA', 'shang']","['NA', 'shàng']"
上当,"['shàng', 'dàng']","['shàng', 'dāng']"
上头,"['shàng', 'tou']","['shàng', 'tóu']"
打哄,"['dǎ', 'hǒng']","['dǎ', 'NA']"
殷红,"['yān', 'hóng']","['yīn', 'hóng']"
当红,"['dāng', 'hóng']","['dàng', 'hóng']"
大红,"['dà', 'hóng']","['dà', 'NA']"
大号,"['dà', 'hào']","['dà', 'NA']"
号角,"['hào', 'jiǎo']","['NA', 'jiǎo']"
乐句,"['yuè', 'jù']","['lè', 'jù']"
发胖,"['fā', 'pàng']","['fā', 'NA']"
部分,"['NA', 'fen']","['NA', 'fēn']"
非分,"['NA', 'fèn']","['NA', 'fēn']"
辈分,"['NA', 'fèn']","['NA', 'fēn']"
身分,"['NA', 'fèn']","['NA', 'fēn']"
职分,"['NA', 'fèn']","['NA', 'fēn']"
缘分,"['NA', 'fèn']","['NA', 'fēn']"
组分,"['NA', 'fèn']","['NA', 'fēn']"
分行,"['fēn', 'háng']","['fēn', 'xíng']"
分缝,"['fēn', 'fèng']","['fēn', 'féng']"
分泌,"['fēn', 'mì']","['fēn', 'NA']"
分担,"['fēn', 'dān']","['fēn', 'NA']"
分<unk>,"['fēn', 'miǎn']","['fēn', 'NA']"
分叉,"['fēn', 'chà']","['fēn', 'chā']"
几分,"['jǐ', 'fēn']","['jī', 'fēn']"
切片,"['qiē', 'piàn']","['qiè', 'piàn']"
切削,"['qiē', 'xiāo']","['qiè', 'NA']"
裁切,"['NA', 'qiē']","['NA', 'qiè']"
体长,"['tǐ', 'cháng']","['tǐ', 'zhǎng']"
传说,"['chuán', 'shuō']","['zhuàn', 'shuō']"
传语,"['chuán', 'yǔ']","['zhuàn', 'yǔ']"
传观,"['chuán', 'guān']","['zhuàn', 'guān']"
传经,"['chuán', 'jīng']","['zhuàn', 'jīng']"
传种,"['chuán', 'zhǒng']","['chuán', 'zhòng']"
传令,"['chuán', 'lìng']","['zhuàn', 'lìng']"
上传,"['shàng', 'chuán']","['shàng', 'zhuàn']"
<unk>传,"['NA', 'chuán']","['NA', 'zhuàn']"
